epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,591.904,0.74391,0.8137,1.19493,0.94549,0.40566,0.43849,0.36257,0.60733,1.94436,0.9036,0.0671941,0.000331373,0.000331373
2,1186.09,0.70248,0.73301,1.16261,0.96488,0.43032,0.45806,0.39927,0.43866,0.93508,0.75593,0.0341722,0.000642771,0.000642771
3,1778.92,0.70034,0.70528,1.16627,0.95556,0.42372,0.45659,0.39608,0.44952,1.3183,0.75963,0.00112825,0.000932169,0.000932169
4,2372.36,0.70209,0.71695,1.16222,0.96603,0.42593,0.45859,0.3993,0.47077,0.9322,0.78468,0.000901,0.000901,0.000901
5,2963.71,0.69287,0.70138,1.15735,0.95733,0.42192,0.45676,0.39815,0.45139,0.63652,0.7674,0.000868,0.000868,0.000868
6,3552.35,0.68304,0.67448,1.14109,0.96392,0.4276,0.45669,0.40139,0.44835,0.75145,0.76065,0.000835,0.000835,0.000835
7,4144.15,0.68331,0.6927,1.14475,0.96648,0.43214,0.45919,0.40156,0.4402,0.60323,0.75276,0.000802,0.000802,0.000802
8,4737.54,0.67745,0.66768,1.13948,0.96669,0.43164,0.45948,0.40469,0.43782,0.81408,0.74805,0.000769,0.000769,0.000769
9,5329.37,0.67677,0.66282,1.13995,0.96452,0.42323,0.4536,0.39602,0.43167,1.05393,0.7471,0.000736,0.000736,0.000736
10,5923.24,0.65539,0.64369,1.13028,0.96904,0.43276,0.46068,0.40836,0.42068,1.01329,0.73775,0.000703,0.000703,0.000703
11,6519.74,0.64833,0.63108,1.13307,0.97077,0.42138,0.45805,0.40542,0.42787,0.68518,0.73901,0.00067,0.00067,0.00067
12,7120.47,0.63241,0.61545,1.10796,0.97201,0.42885,0.46061,0.40841,0.41936,0.68414,0.73206,0.000637,0.000637,0.000637
13,7718.93,0.62945,0.62795,1.11464,0.96682,0.42885,0.46006,0.41079,0.41803,0.66971,0.73381,0.000604,0.000604,0.000604
14,8333.91,0.6311,0.61769,1.11077,0.97329,0.4291,0.45956,0.41175,0.40753,0.74402,0.73121,0.000571,0.000571,0.000571
15,8931.7,0.62536,0.59819,1.10438,0.97329,0.42451,0.45831,0.40873,0.4009,0.88632,0.7226,0.000538,0.000538,0.000538
16,9525.08,0.61489,0.5919,1.09975,0.97233,0.42572,0.46002,0.41044,0.40615,0.82521,0.72648,0.000505,0.000505,0.000505
17,10120.1,0.62204,0.60406,1.11012,0.97361,0.42738,0.45782,0.41027,0.40704,0.61186,0.73016,0.000472,0.000472,0.000472
18,10716.3,0.61701,0.56653,1.10318,0.97645,0.43056,0.46232,0.41623,0.39856,0.70732,0.72289,0.000439,0.000439,0.000439
19,11311.6,0.59639,0.56858,1.08716,0.97146,0.43211,0.46069,0.41287,0.39937,0.66746,0.72266,0.000406,0.000406,0.000406
20,11900.3,0.59554,0.57094,1.0888,0.97753,0.42421,0.45878,0.41467,0.39731,0.60247,0.72,0.000373,0.000373,0.000373
21,12488.3,0.52076,0.49271,1.04362,0.97606,0.42543,0.45944,0.41562,0.4043,0.62843,0.72648,0.00034,0.00034,0.00034
22,13080.6,0.51617,0.46505,1.05325,0.9767,0.4251,0.46146,0.42021,0.38586,0.64965,0.71059,0.000307,0.000307,0.000307
23,13674.8,0.50881,0.47364,1.04436,0.97424,0.42753,0.46007,0.41854,0.38149,0.63959,0.70748,0.000274,0.000274,0.000274
24,14269.1,0.50295,0.45341,1.04217,0.97836,0.42694,0.45997,0.42279,0.3698,0.64012,0.70049,0.000241,0.000241,0.000241
25,14866.7,0.49708,0.44901,1.03854,0.97398,0.4276,0.46024,0.42263,0.36905,0.69323,0.69903,0.000208,0.000208,0.000208
26,15463.4,0.47855,0.42516,1.02964,0.98177,0.42518,0.46184,0.42284,0.36855,0.7126,0.69853,0.000175,0.000175,0.000175
27,16054.5,0.47742,0.43168,1.03128,0.97519,0.43086,0.46164,0.42549,0.36272,0.6081,0.69857,0.000142,0.000142,0.000142
28,16643.9,0.458,0.40497,1.01237,0.9773,0.42666,0.4623,0.42713,0.35938,0.66148,0.69495,0.000109,0.000109,0.000109
29,17235.9,0.45621,0.40078,1.01299,0.97903,0.42641,0.46329,0.42963,0.35896,0.66613,0.69381,7.6e-05,7.6e-05,7.6e-05
30,17829.8,0.46084,0.40215,1.02315,0.97951,0.42641,0.46267,0.42959,0.35492,0.68578,0.69264,4.3e-05,4.3e-05,4.3e-05
